======================================================================
EXPERIMENT RESULTS ANALYSIS - GENERAL SUMMARY
======================================================================

Experiment: approaches_ranking_modes
Number of datasets: 23
Methods compared: 5

Methods:
  1. Cons. [Linf] (ignoring_tweet_fast_Linf)
  2. Lexicographic: Vol. [Linf]+Cons. [Linf] (lexicographic_coretweets_Linf_ignoring_tweet_fast_Linf)
  3. Lexicographic: Cons. [Linf]+Vol. [Linf] (lexicographic_ignoring_tweet_fast_Linf_coretweets_Linf)
  4. Lexicographic: Cons. [Linf]+Prec. [Linf] (lexicographic_ignoring_tweet_fast_Linf_ignoring_tweet_counting_rt_Linf)
  5. Lexicographic: Cons. [Linf]+Prec. [Linf]+Vol. [Linf] (lexicographic_ignoring_tweet_fast_Linf_ignoring_tweet_counting_rt_Linf_coretweets_Linf)

Datasets:
  1. Armenia
  2. Catalonia
  3. China_1
  4. China_2
  5. Cuba
  6. Ecuador
  7. Ghana_Nigeria
  8. Iran_1
  9. Iran_2
  10. Iran_3
  11. Iran_4
  12. Iran_5
  13. Iran_6
  14. Qatar
  15. Russia_1
  16. Russia_2
  17. Russia_3
  18. Russia_4
  19. Russia_5
  20. Spain
  21. Thailand
  22. UAE
  23. Venezuela_2

======================================================================
IO UNTIL FIRST NON-IO (Counts)
======================================================================

Dataset                                                        Cons. [Linf]                Lexicographic: Vol. [Linf]+Cons. [Linf]                Lexicographic: Cons. [Linf]+Vol. [Linf]               Lexicographic: Cons. [Linf]+Prec. [Linf]   Lexicographic: Cons. [Linf]+Prec. [Linf]+Vol. [Linf]
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Armenia                                                                   0                                                     10                                                     10                                                      0                                                      0
Catalonia                                                                35                                                     23                                                     35                                                     50                                                     50
China_1                                                                 118                                                      4                                                    118                                                    120                                                    124
China_2                                                                  33                                                      3                                                     33                                                     34                                                     34
Cuba                                                                    319                                                     34                                                    323                                                    323                                                    323
Ecuador                                                                 171                                                     93                                                    171                                                    171                                                    171
Ghana_Nigeria                                                            22                                                     12                                                     22                                                     23                                                     23
Iran_1                                                                  328                                                     28                                                    332                                                    341                                                    341
Iran_2                                                                   62                                                     35                                                     65                                                     84                                                     84
Iran_3                                                                  104                                                     33                                                    105                                                    106                                                    106
Iran_4                                                                  239                                                      3                                                    328                                                    393                                                    394
Iran_5                                                                   21                                                     11                                                     21                                                     22                                                     22
Iran_6                                                                   36                                                      8                                                     36                                                     36                                                     36
Qatar                                                                    13                                                      5                                                     13                                                     13                                                     13
Russia_1                                                               1017                                                      2                                                   1017                                                   1078                                                   1078
Russia_2                                                                 40                                                      4                                                     40                                                     40                                                     40
Russia_3                                                                  2                                                      0                                                      2                                                      2                                                      2
Russia_4                                                                  6                                                      0                                                      6                                                      6                                                      6
Russia_5                                                                  8                                                      0                                                      9                                                      9                                                      9
Spain                                                                   140                                                     53                                                    140                                                    152                                                    152
Thailand                                                                 55                                                     27                                                     59                                                     59                                                     62
UAE                                                                    2295                                                    128                                                   2298                                                   2295                                                   2295
Venezuela_2                                                              10                                                     10                                                     10                                                     10                                                     10

Mean                                                                 220.61                                                  22.87                                                 225.78                                                 233.35                                                 233.70


======================================================================
USERS UNTIL 80% IO FOUND
======================================================================

Dataset                                                        Cons. [Linf]                Lexicographic: Vol. [Linf]+Cons. [Linf]                Lexicographic: Cons. [Linf]+Vol. [Linf]               Lexicographic: Cons. [Linf]+Prec. [Linf]   Lexicographic: Cons. [Linf]+Prec. [Linf]+Vol. [Linf]
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Armenia                                                                 146                                                      8                                                      8                                                     75                                                     32
Catalonia                                                               256                                                    253                                                    253                                                     66                                                     66
China_1                                                                4185                                                   1388                                                   1152                                                   1855                                                   1685
China_2                                                                  46                                                    518                                                     45                                                     46                                                     45
Cuba                                                                    346                                                    687                                                    345                                                    345                                                    345
Ecuador                                                                 216                                                    771                                                    218                                                    207                                                    207
Ghana_Nigeria                                                            20                                                     27                                                     20                                                     20                                                     20
Iran_1                                                                  292                                                    349                                                    292                                                    292                                                    292
Iran_2                                                                  155                                                    267                                                    155                                                    155                                                    155
Iran_3                                                                  102                                                    152                                                    102                                                    102                                                    102
Iran_4                                                                 1130                                                   1178                                                   1178                                                    621                                                    621
Iran_5                                                                   18                                                     23                                                     18                                                     18                                                     18
Iran_6                                                                   32                                                    180                                                     32                                                     32                                                     32
Qatar                                                                    55                                                    243                                                     37                                                     30                                                     25
Russia_1                                                               1531                                                   2414                                                   1553                                                   1500                                                   1499
Russia_2                                                                100                                                     85                                                     85                                                     86                                                     86
Russia_3                                                                  2                                                      8                                                      2                                                      2                                                      2
Russia_4                                                               2113                                                   2401                                                   2401                                                    516                                                    516
Russia_5                                                                  8                                                     55                                                      8                                                      8                                                      8
Spain                                                                   138                                                    147                                                    138                                                    138                                                    138
Thailand                                                                861                                                    577                                                    577                                                    253                                                    251
UAE                                                                    2357                                                   2558                                                   2357                                                   2357                                                   2357
Venezuela_2                                                               9                                                      9                                                      9                                                      9                                                      9

Mean                                                                 613.83                                                 621.65                                                 477.61                                                 379.70                                                 370.04
